Date : 2023-01-12 15:37:51
Directory : /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys
Total : 183 files,  39970 codes, 4814 comments, 2903 blanks, all 47687 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/js/users-product-min.js                                    | JavaScript |          2 |          0 |          1 |          3 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/js/users-product.js                                        | JavaScript |         34 |          4 |          3 |         41 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/js/woo-deposits-charge-min.js                              | JavaScript |          1 |          0 |          1 |          2 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/js/woo-deposits-charge.js                                  | JavaScript |         63 |          3 |         10 |         76 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/classes/class-plugin-list-links-redsys-premium.php                | PHP        |         26 |         32 |          8 |         66 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/classes/class-redsys-card-images.php                              | PHP        |         54 |         40 |          7 |        101 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/classes/class-redsys-pay-one-clic.php                             | PHP        |         59 |         42 |          6 |        107 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/classes/class-redsys-push-notifications-menu.php                  | PHP        |         86 |         60 |         11 |        157 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/classes/class-redsys-push-notifications.php                       | PHP        |         63 |         41 |          5 |        109 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/classes/class-redsys-qr-codes.php                                 | PHP        |        585 |        123 |         13 |        721 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/classes/class-redsys-site-health.php                              | PHP        |        243 |         61 |          6 |        310 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/classes/class-redsys-wp-dashboard.php                             | PHP        |         75 |         33 |         15 |        123 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/classes/class-wc-gateway-bizum-redsys.php                         | PHP        |      1,375 |        157 |         71 |      1,603 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/classes/class-wc-gateway-direct-debit-redsys.php                  | PHP        |      1,292 |        162 |         60 |      1,514 |
